,Unique Probes,Total Entries,Match
4_S100A12_-,8028,8028,True
5_S100A12_-,8119,8119,True
1_PIR_-,10806,20725,False
1_TNFRSF8_+,9548,9548,True
5_COMP_+,10864,20932,False
6_COMP_+,10314,10314,True
7_COMP_+,10296,10296,True
8_COMP_+,10331,10331,True
9_COMP_+,10337,10337,True
1_JAG1_+,10374,10374,True
1_COX6A1_TMEFF2_+,5453,5453,True
2_COX6A1_TMEFF2_+,6659,6659,True
1_LAT_SET_WAS_+,10452,10452,True
2_LAT_SET_WAS_+,10435,10435,True
3_LAT_SET_WAS_+,10482,10482,True
1_KLF4_SOX2_+,10441,10441,True
3_KLF4_SOX2_+,10475,10475,True
1_JAK3_+,10111,10111,True
1_CREB3L3_+,9923,9923,True
1_CD2_+,9539,9539,True
2_CD2_+,9555,9555,True
1_USF1_+,6093,6093,True
1_CSC-Top-GFP-High-vs-Low_+,10336,10336,True
1_CAT_NIN_-,9191,9191,True
2_PIR_-,10448,10448,True
1_NF1_+,10535,10535,True
1_ARC_ATM_UNG_WAS_+,10299,10299,True
2_ARC_ATM_UNG_WAS_+,10319,10319,True
3_ARC_ATM_UNG_WAS_+,10321,10321,True
4_ARC_ATM_UNG_WAS_+,10324,10324,True
5_ARC_ATM_UNG_WAS_+,10336,10336,True
6_ARC_ATM_UNG_WAS_+,10307,10307,True
7_ARC_ATM_UNG_WAS_+,10296,10296,True
8_ARC_ATM_UNG_WAS_+,10364,10364,True
2_CD4_+,10829,20760,False
1_ITGA5_+,10086,10086,True
1_NOTHING_SCGB1D2_+,10553,10553,True
1_BRE_FER_LAT_NES_REN_WAS_+,3900,3900,True
1_EZH2_STOM_+,10451,10451,True
1_NME2_+,10568,10568,True
1_NOTCH1_-,6889,6889,True
2_NOTCH1_-,4741,4741,True
3_NOTCH1_-,4855,4855,True
10_ENSA_-,10442,10442,True
1_ENSA_-,10440,10440,True
2_ENSA_-,10432,10432,True
3_ENSA_-,10354,10354,True
4_ENSA_-,10410,10410,True
5_ENSA_-,10425,10425,True
6_ENSA_-,10411,10411,True
7_ENSA_-,10429,10429,True
8_ENSA_-,10417,10417,True
9_ENSA_-,10438,10438,True
1_JAK1_-,10065,10065,True
1_GP2_MAG_+,10258,10258,True
2_CA4_GP2_MAG_+,10235,10235,True
1_LAT_MAL_MET_UNG_+,9968,9968,True
2_LAT_MAL_MET_UNG_+,9992,9992,True
1_RARA_+,8986,8986,True
1_ARC_FER_+,10428,10428,True
1_PIR_+,10316,10316,True
1_Bcat-shRNA-vs-control_+,10265,10265,True
1_TCF4_+,10265,10265,True
2_TCF4_+,10302,10302,True
2_shRNA-dnTCF4-vs-control_+,10311,10311,True
3_TCF4_+,10330,10330,True
1_CD36_COMP_MICE_+,10074,10074,True
1_MTOR_+,10830,20321,False
2_MTOR_+,10035,10035,True
3_MTOR_+,10067,10067,True
1_HDAC6_-,9952,9952,True
1_BRD4_-,10159,10159,True
2_BRD4_-,10091,10091,True
3_BRD4_-,10113,10113,True
4_BRD4_-,10244,10244,True
3_LARGE_+,9343,9343,True
4_LARGE_+,9382,9382,True
5_LARGE_+,9356,9356,True
6_LARGE_+,9380,9380,True
7_LARGE_+,9360,9360,True
1_ACE_CAT_RET_+,4652,4652,True
1_LAT_MAL_MOS_+,10300,10300,True
1_CD36_+,10390,10390,True
2_CD36_+,10380,10380,True
3_CD36_+,10420,10420,True
1_ARC_LAT_WAS_+,9926,9926,True
2_ARC_LAT_WAS_+,9908,9908,True
3_ARC_LAT_WAS_+,10012,10012,True
4_ARC_LAT_WAS_+,10048,10048,True
5_ARC_LAT_WAS_+,10049,10049,True
1_ANG_NES_+,5454,5454,True
2_ANG_NES_+,4936,4936,True
